cik	edgarConame	url	filingdate10K	formtype
51143	INTERNATIONAL BUSINESS MACHINES CORP	edgar/data/51143/0001047469-10-001151.txt	23-Feb-10	10-K
51143	INTERNATIONAL BUSINESS MACHINES CORP	edgar/data/51143/0001047469-11-001117.txt	22-Feb-11	10-K
51143	INTERNATIONAL BUSINESS MACHINES CORP	edgar/data/51143/0001047469-12-001742.txt	28-Feb-12	10-K
320193	APPLE INC	edgar/data/320193/0001193125-10-012091.txt	25-Jan-10	10-K/A
320193	APPLE INC	edgar/data/320193/0001193125-10-238044.txt	27-Oct-10	10-K
320193	APPLE INC	edgar/data/320193/0001193125-11-282113.txt	26-Oct-11	10-K
320193	APPLE INC	edgar/data/320193/0001193125-12-444068.txt	31-Oct-12	10-K
789019	MICROSOFT CORP	edgar/data/789019/0001193125-10-171791.txt	30-Jul-10	10-K
789019	MICROSOFT CORP	edgar/data/789019/0001193125-11-200680.txt	28-Jul-11	10-K
789019	MICROSOFT CORP	edgar/data/789019/0001193125-12-316848.txt	26-Jul-12	10-K
1288776	Google Inc.	edgar/data/1288776/0001193125-10-030774.txt	12-Feb-10	10-K
1288776	Google Inc.	edgar/data/1288776/0001193125-11-032930.txt	11-Feb-11	10-K
1288776	Google Inc.	edgar/data/1288776/0001193125-12-025336.txt	26-Jan-12	10-K
1288776	Google Inc.	edgar/data/1288776/0001193125-12-174477.txt	23-Apr-12	10-K/A
