cik1	fy1	period1	cik2	fy2	period2	dist
0001137411	2011	20110930	0000946454	2011	20111231	0
0001137411	2011	20110930	0001123493	2011	20111231	0.3610050967
0001137411	2011	20110930	0000906193	2011	20110930	0.337373859758
0001419275	2015	20151231	0001322952	2015	20151231	0.907071993723
0001419275	2015	20151231	0000102037	2015	20150331	0.970126678141
0001419275	2015	20151231	0001533998	2015	20151231	0.934741928575
0001419275	2015	20151231	0000315958	2015	20151231	0.960368187172
0001419275	2015	20151231	0000353020	2015	20151231	0.963333912859
0001419275	2015	20151231	0001567771	2015	20151231	0.910693204434
0001419275	2015	20151231	0000909724	2015	20151231	1.00463275003
0001419275	2015	20151231	0000949157	2015	20151231	1.06220772881
0001419275	2015	20151231	0001351051	2015	20151231	0.918888323119
0001419275	2015	20151231	0001296205	2015	20151231	0.979899437783
0001419275	2015	20151231	0000833640	2015	20151231	0.957763490859
0001419275	2015	20151231	0000887969	2015	20151231	0.945395767548
0001419275	2015	20151231	0001035983	2015	20151231	0.960537394299
0001419275	2015	20151231	0001040896	2015	20151231	0.956458866133
0001419275	2015	20151231	0000351789	2015	20151231	0.932540318673
0001419275	2015	20151231	0001623919	2015	20151231	0.977426494308
0001419275	2015	20151231	0000082166	2015	20150131	0.909730413427
0001419275	2015	20151231	0000093556	2015	20160102	0.903944830575
0001419275	2015	20151231	0001407038	2015	20151231	0.957035574717
0001419275	2015	20151231	0001314196	2015	20151231	0.953917065629
0001419275	2015	20151231	0001568385	2015	20151231	0.918867479482
0001419275	2015	20151231	0001594204	2015	20151231	0.891860785871
0001136352	2012	20120930	0001064728	2012	20121231	0.32893036314
0001136352	2012	20120930	0001034842	2012	20121231	0.448440738045
0001136352	2012	20120930	0000098362	2012	20121231	0.341410699969
0001136352	2012	20120930	0001412486	2012	20121231	0.374735942794
0001136352	2012	20120930	0001384072	2012	20121231	0.387621103759
0001136352	2012	20120930	0001281198	2012	20121231	0.41886949802
0001136352	2012	20120930	0000068709	2012	20120929	0.364893353216
0001136352	2012	20120930	0000093410	2012	20121231	0.417588918782
0001136352	2012	20120930	0000789868	2012	20121231	0.300859509363
0001136352	2012	20120930	0000836429	2012	20120731	0.380509391185
0001136352	2012	20120930	0001389067	2012	20121231	0.585705667231
0001136352	2012	20120930	0000027748	2012	20120728	0.345236890192
0001136352	2012	20120930	0000746967	2012	20120930	0.583298203694
0001136352	2012	20120930	0001000228	2012	20121229	0.390618040679
0001136352	2012	20120930	0001371217	2012	20121231	0.357751813074
0001136352	2012	20120930	0001117106	2012	20121231	0.403610699433
0001136352	2012	20120930	0000093389	2012	20121231	0.393369694754
0001136352	2012	20120930	0001287808	2012	20121231	0.39998801172
0001136352	2012	20120930	0001125903	2012	20121231	0.550849553716
0001136352	2012	20120930	0001491525	2012	20120331	0.387375925199
0001136352	2012	20120930	0001111817	2012	20120630	0.338047334437
0001136352	2012	20120930	0000825324	2012	20120930	0.352388118279
0001136352	2012	20120930	0001020475	2012	20121231	0.774790642089
0001136352	2012	20120930	0001529293	2012	20120731	0.482318062033
0001136352	2012	20120930	0001551887	2012	20121031	0.409041789462
0001136352	2012	20120930	0001002590	2012	20120930	0.346887547859
0001136352	2012	20120930	0000727510	2012	20121231	0.373899717853
0001136352	2012	20120930	0001510524	2012	20121231	0.383802042887
0001136352	2012	20120930	0001355304	2012	20121231	0.392550182105
0001136352	2012	20120930	0000041719	2012	20121231	0.323143394524
0001136352	2012	20120930	0001005284	2012	20121231	0.335547586211
0001136352	2012	20120930	0001366407	2012	20121231	0.60081509429
0001136352	2012	20120930	0001450708	2012	20121031	0.459009426478
0001136352	2012	20120930	0001530804	2012	20121231	0.412061295737
0001136352	2012	20120930	0000948426	2012	20121231	0.417659633047
0001136352	2012	20120930	0001523733	2012	20121231	0.345126441893
0001322952	2015	20151231	0001419275	2015	20151231	0.907071993723
0001322952	2015	20151231	0000102037	2015	20150331	0.392611645381
0001322952	2015	20151231	0001533998	2015	20151231	0.346093697794
0001322952	2015	20151231	0000315958	2015	20151231	0.398453202371
0001322952	2015	20151231	0000353020	2015	20151231	0.42527038312
0001322952	2015	20151231	0001567771	2015	20151231	0.303080062306
0001322952	2015	20151231	0000909724	2015	20151231	0.433598612735
0001322952	2015	20151231	0000949157	2015	20151231	0.773127637727
0001322952	2015	20151231	0001351051	2015	20151231	0.346552861119
0001322952	2015	20151231	0001296205	2015	20151231	0.391340353481
0001322952	2015	20151231	0000833640	2015	20151231	0.372764967433
0001322952	2015	20151231	0000887969	2015	20151231	0.364828806141
0001322952	2015	20151231	0001035983	2015	20151231	0.424604241829
0001322952	2015	20151231	0001040896	2015	20151231	0.380105327835
0001322952	2015	20151231	0000351789	2015	20151231	0.634328932785
0001322952	2015	20151231	0001623919	2015	20151231	0.386841590041
0001322952	2015	20151231	0000082166	2015	20150131	0.345814847248
0001322952	2015	20151231	0000093556	2015	20160102	0.317286535434
0001322952	2015	20151231	0001407038	2015	20151231	0.399019577408
0001322952	2015	20151231	0001314196	2015	20151231	0.332431741933
0001322952	2015	20151231	0001568385	2015	20151231	0.559032085073
0001322952	2015	20151231	0001594204	2015	20151231	0.336699378253
0000874214	2014	20150131	0001439971	2014	20140430	0.692199201578
0000874214	2014	20150131	0000884269	2014	20141231	0.689881410711
0000874214	2014	20150131	0001522236	2014	20140531	0.664073546522
0000874214	2014	20150131	0001481218	2014	20141231	0.615769701369
0000874214	2014	20150131	0001062292	2014	20141231	0.648185384716
0000874214	2014	20150131	0001134765	2014	20141231	0.844035953347
0000874214	2014	20150131	0001517681	2014	20140630	0.792572570476
0000874214	2014	20150131	0001407704	2014	20140228	0.788087670872
0000874214	2014	20150131	0001338095	2014	20141231	0.650507917195
0000874214	2014	20150131	0001594337	2014	20140930	0.650476318725
0000874214	2014	20150131	0001493563	2014	20141231	0.640316974558
0000874214	2014	20150131	0001002037	2014	20141003	0.669482670478
0000874214	2014	20150131	0000277058	2014	20140430	0.705887120435
0000874214	2014	20150131	0001060409	2014	20141231	0.66743586585
0000874214	2014	20150131	0000315189	2014	20141031	0.753806143956
0000874214	2014	20150131	0001433966	2014	20140630	0.705289027717
0000874214	2014	20150131	0001031623	2014	20141231	0.660574718821
0001064728	2012	20121231	0001136352	2012	20120930	0.32893036314
0001064728	2012	20121231	0001034842	2012	20121231	0.484303462074
0001064728	2012	20121231	0000098362	2012	20121231	0.33307472185
0001064728	2012	20121231	0001412486	2012	20121231	0.363451028063
0001064728	2012	20121231	0001384072	2012	20121231	0.400711447044
0001064728	2012	20121231	0001281198	2012	20121231	0.414639562511
0001064728	2012	20121231	0000068709	2012	20120929	0.338601738166
0001064728	2012	20121231	0000093410	2012	20121231	0.414934052463
0001064728	2012	20121231	0000789868	2012	20121231	0.28377982955
0001064728	2012	20121231	0000836429	2012	20120731	0.354021403467
0001064728	2012	20121231	0001389067	2012	20121231	0.610755724519
0001064728	2012	20121231	0000027748	2012	20120728	0.313568547989
0001064728	2012	20121231	0000746967	2012	20120930	0.569050014964
0001064728	2012	20121231	0001000228	2012	20121229	0.398886370685
0001064728	2012	20121231	0001371217	2012	20121231	0.328406487036
0001064728	2012	20121231	0001117106	2012	20121231	0.335811711107
0001064728	2012	20121231	0000093389	2012	20121231	0.405095858217
0001064728	2012	20121231	0001287808	2012	20121231	0.315432361669
0001064728	2012	20121231	0001125903	2012	20121231	0.545895419112
0001064728	2012	20121231	0001491525	2012	20120331	0.356999494343
0001064728	2012	20121231	0001111817	2012	20120630	0.295694235519
0001064728	2012	20121231	0000825324	2012	20120930	0.313308042281
0001064728	2012	20121231	0001020475	2012	20121231	0.759228621145
0001064728	2012	20121231	0001529293	2012	20120731	0.450120558597
0001064728	2012	20121231	0001551887	2012	20121031	0.382437451646
0001064728	2012	20121231	0001002590	2012	20120930	0.365871159789
0001064728	2012	20121231	0000727510	2012	20121231	0.305790154648
0001064728	2012	20121231	0001510524	2012	20121231	0.36964426827
0001064728	2012	20121231	0001355304	2012	20121231	0.362850927988
0001064728	2012	20121231	0000041719	2012	20121231	0.347548500413
0001064728	2012	20121231	0001005284	2012	20121231	0.306545580246
0001064728	2012	20121231	0001366407	2012	20121231	0.603870641884
0001064728	2012	20121231	0001450708	2012	20121031	0.444599837997
0001064728	2012	20121231	0001530804	2012	20121231	0.389790787974
0001064728	2012	20121231	0000948426	2012	20121231	0.365034655823
0001064728	2012	20121231	0001523733	2012	20121231	0.349487114238
0001439971	2014	20140430	0000874214	2014	20150131	0.692199201578
0001439971	2014	20140430	0000884269	2014	20141231	0.389868773838
0001439971	2014	20140430	0001522236	2014	20140531	0.348279724243
0001439971	2014	20140430	0001481218	2014	20141231	0.36080564899
0001439971	2014	20140430	0001062292	2014	20141231	0.361418493406
0001439971	2014	20140430	0001134765	2014	20141231	0.737044973063
0001439971	2014	20140430	0001517681	2014	20140630	0.782317485845
0001439971	2014	20140430	0001407704	2014	20140228	0.506688654325
0001439971	2014	20140430	0001338095	2014	20141231	0.393179244896
0001439971	2014	20140430	0001594337	2014	20140930	0.75364533789
0001439971	2014	20140430	0001493563	2014	20141231	0.370340375308
0001439971	2014	20140430	0001002037	2014	20141003	0.392980159519
